	" ВЕЛИЧИНА ПРОЖИТОЧНОГО МИНИМУМА 
на душу населения и по основным социально-демографическим группам населения 
в целом по Российской Федерации и по субъектам Российской Федерации1)"																																																									
																																																								рублей в месяц		
	2013				2014				2015				2016				2017				2018				2019				2020				2021				 c 1 января 2022 г.				" c 1 июня 2022 г.
(с учетом индексации ВПМ на 10%)"				2023				2024				2025					
	Все население	в том числе по социально-демографическим группам населения			Все население	в том числе по социально-демографическим группам населения			Все население	в том числе по социально-демографическим группам населения			Все население	в том числе по социально-демографическим группам населения			Все население	в том числе по социально-демографическим группам населения			Все население	в том числе по социально-демографическим группам населения			Все население	в том числе по социально-демографическим группам населения			Все население	в том числе по социально-демографическим группам населения			Все население	в том числе по социально-демографическим группам населения			Все население	в том числе по социально-демографическим группам населения			Все население	в том числе по социально-демографическим группам населения			Все население	в том числе по социально-демографическим группам населения			Все население	в том числе по социально-демографическим группам населения			Все население	в том числе по социально-демографическим группам населения				
		трудоспособное население	пенсионеры	дети		трудоспособное население	пенсионеры	дети		трудоспособное население	пенсионеры	дети		трудоспособное население	пенсионеры	дети		трудоспособное население	пенсионеры	дети		трудоспособное население	пенсионеры	дети		трудоспособное население	пенсионеры	дети		трудоспособное население	пенсионеры	дети		трудоспособное население	пенсионеры	дети		трудоспособное население	пенсионеры	дети		трудоспособное население	пенсионеры	дети		трудоспособное население	пенсионеры	дети		трудоспособное население	пенсионеры	дети		трудоспособное население	пенсионеры	дети		
Российская Федерация	7 306	7 871	5 998	7 022	8 050	8 683	6 617	7 752	9 701	10 455	7 965	9 472	9 828	10 598	8 081	9 660	10 088	10 899	8 315	9 925	10 287	11 125	8 483	10 150	10 890	11 809	9 002	10 703	11 312	12 235	9 308	11 216	11 653	12 702	10 022	11 303	12 6542)	13 793	10 882	12 274	13 9193)	15 172	11 970	13 501	14 3754)	15 669	12 363	13 944	15 4535)	16 844	13 290	14 989	17 733	19 329	15 250	17 201		
Республика Северная Осетия- Алания	6 407	6 824	5 230	6 380	7 037	7 480	5 731	7 062	8 597	9 084	6 951	8 845	8 809	9 331	7 106	9 012	9 032	9 550	7 347	9 225	9 031	9 506	7 386	9 315	9 485	10 028	7 686	9 724	9 834	10 386	7 908	10 178	10 596	11 023	8 367	10 889	11 389	12 414	9 795	11 281	12 528	13 655	10 775	12 409	12 938	14 102	11 127	12 818	13 908	15 160	11 961	13 491	15 960	17 396	13 726	15 481		
Чеченская Республика	7 165	7 776	5 476	6 813	6 622	7 256	5 604	5 921	8 162	8 972	7 388	7 106	8 769	9 577	8 325	7 569	9 754	10 055	8 178	9 720	10 285	10 671	8 375	10 198	10 910	11 286	8 929	10 806	11 230	11 584	9 184	11 249	11 240	11 572	10 0207)	11 294	12 148	13 241	10 447	11 784	13 363	14 565	11 492	12 962	13 800	15 042	11 868	13 386	14 835	16 170	12 758	14 390	17 024	18 556	14 641	16 513		
Ставропольский край	6 443	6 855	5 236	6 526	6 956	7 390	5 652	7 082	8 231	8 749	6 696	8 460	8 266	8 781	6 726	8 505	8 543	9 078	6 936	8 806	8 659	9 198	7 031	8 934	9 235	9 881	7 549	9 498	9 807	10 473	7 981	10 233	10 081	10 749	8 646	10 621	11 389	12 414	9 795	11 047	12 528	13 655	10 775	12 152	12 938	14 102	11 127	12 550	13 908	15 160	11 961	13 491	15 960	17 396	13 726	15 481		
Приволжский федеральный округ																																																										
Республика Башкортостан	6 368	6 789	5 198	6 315	7 116	7 577	5 815	7 081	8 623	9 175	7 036	8 617	8 569	9 105	6 984	8 613	8 614	9 169	7 053	8 570	8 838	9 388	7 205	8 894	9 517	10 127	7 768	9 504	9 800	10 422	7 984	9 826	10 015	10 641	9 605	10 077	11 009	12 000	10 431	10 679	12 110	13 200	11 474	11 747	12 650	13 789	11 990	12 271	13 753	14 991	12 530	13 340	15 782	17 202	13 573	15 309		
Республика Марий Эл	6 045	6 447	4 947	5 993	7 014	7 484	5 740	7 033	8 717	9 300	7 125	8 832	8 852	9 447	7 251	9 057	9 114	9 723	7 473	9 374	8 968	9 550	7 346	9 285	9 583	10 216	7 854	9 795	9 889	10 574	8 093	10 207	10 184	10 913	8 719	10 535	11 136	12 138	9 577	11 441	12 250	13 352	10 535	12 585	12 650	13 789	10 879	13 000	13 599	14 823	11 695	13 585	15 605	17 009	13 420	15 137		
Республика Мордовия	6 183	6 620	5 082	6 197	6 730	7 221	5 544	6 737	8 149	8 747	6 690	8 271	7 884	8 459	6 489	8 057	8 157	8 759	6 716	8 407	8 417	9 039	6 908	8 832	9 104	9 825	7 527	9 357	9 329	10 038	7 668	9 708	9 716	10 442	9 020	10 149	10 756	11 724	9 390	10 565	11 832	12 896	10 329	11 622	12 219	13 319	11 021	12 402	13 135	14 317	11 462	12 898	15 073	16 430	12 963	14 621		
Республика Татарстан	6 113	6 599	4 779	5 974	6 880	7 354	5 649	6 763	7 695	8 215	6 309	7 608	8 077	8 620	6 612	8 013	8 467	9 034	6 943	8 394	8 729	9 287	7 128	8 789	9 213	9 827	7 542	9 162	9 568	10 185	7 791	9 641	9 955	10 622	8 423	9 995	10 756	11 724	9 250	10 433	11 832	12 896	10 175	11 476	12 219	13 319	10 508	11 852	13 135	14 317	11 296	12 741	15 073	16 430	12 963	14 621		
Удмуртская Республика	6 281	6 693	5 141	6 155	7 181	7 641	5 874	7 075	8 726	9 264	7 111	8 705	8 530	9 044	6 949	8 552	8 750	9 265	7 130	8 820	9 026	9 557	7 341	9 112	9 732	10 328	7 926	9 728	10 232	10 835	8 282	10 373	10 465	11 080	8 917	10 674	11 262	12 276	9 685	11 144	12 388	13 504	10 654	12 258	12 794	13 945	11 003	12 663	13 753	14 991	11 828	13 340	15 782	17 202	13 573	15 309		
Чувашская Республика	6 103	6 475	5 047	6 058	6 805	7 231	5 572	6 789	8 301	8 804	6 766	8 381	8 383	8 875	6 849	8 495	8 567	9 071	6 988	8 696	8 652	9 169	7 056	8 746	9 324	9 908	7 613	9 319	9 664	10 266	7 854	9 718	9 804	10 414	8 466	9 883	10 756	11 724	9 250	10 433	11 832	12 896	10 175	11 476	12 363	13 476	10 632	11 992	13 444	14 654	11 562	13 041	15 428	16 817	13 268	14 965		
Пермский край	7 199	7 722	5 804	7 106	8 096	8 624	6 620	8 181	9 510	10 168	7 792	9 571	9 591	10 251	7 856	9 721	9 978	10 673	8 182	10 177	10 098	10 804	8 279	10 289	10 463	11 232	8 624	10 626	10 772	11 559	8 861	11 019	10 844	11 633	8 914	11 124	11 642	12 690	10 012	11 569	12 806	13 959	11 013	12 726	13 225	14 415	11 374	13 146	14 217	15 497	12 227	14 093	16 314	17 782	14 030	15 825		
Кировская область	6 822	7 331	5 612	6 735	7 420	7 955	6 093	7 427	9 210	9 869	7 542	9 268	9 276	9 943	7 598	9 318	9 508	10 169	7 769	9 675	9 774	10 436	7 976	10 027	10 223	10 938	8 370	10 376	10 604	11 333	8 623	10 884	10 710	11 441	9 348	11 060	11 262	12 276	9 750	11 536	12 388	13 504	10 725	12 690	12 794	13 945	11 358	13 439	13 753	14 991	12 028	14 232	15 782	17 202	13 573	15 309		
Hижегородская область	6 577	7 084	5 387	6 506	7 323	7 870	6 060	7 337	8 822	9 474	7 280	8 976	8 755	9 398	7 234	8 987	9 104	9 779	7 527	9 394	9 371	10 078	7 747	9 700	10 082	10 845	8 336	10 271	10 436	11 277	8 640	10 748	10 833	11 540	9 360	11 031	11 895	12 966	10 230	11 538	13 085	14 263	11 253	12 692	13 513	14 729	11 621	13 108	14 526	15 833	12 492	14 090	16 669	18 169	14 335	16 169		
Оренбургская область	6 157	6 535	5 064	6 216	6 766	7 182	5 573	6 811	8 348	8 843	6 844	8 509	8 356	8 842	6 850	8 550	8 554	9 053	7 016	8 747	8 695	9 246	7 161	9 048	9 291	9 915	7 707	9 579	9 691	10 346	8 004	10 096	9 938	10 602	9 020	10 417	11 009	12 000	9 468	10 834	12 110	13 200	10 415	11 917	12 506	13 632	10 755	12 572	13 444	14 654	11 562	13 138	15 428	16 817	13 268	14 965		
Пензенская область	5 991	6 454	4 956	5 976	6 571	7 083	5 442	6 517	8 096	8 723	6 677	8 275	8 428	9 069	6 936	8 773	8 690	9 345	7 172	9 027	8 841	9 527	7 328	9 238	9 337	10 117	7 758	9 628	9 512	10 288	7 889	9 877	9 610	10 396	7 953	10 002	10 629	11 586	9 381	10 402	11 692	12 745	10 319	11 442	12 075	13 162	10 660	11 820	12 981	14 149	11 246	12 592	14 896	16 237	12 811	14 449		
Самарская область	7 282	7 954	5 709	6 979	7 788	8 491	6 113	7 520	8 786	9 568	6 910	8 511	9 703	10 665	7 682	9 568	9 808	10 773	7 766	9 686	9 977	10 953	7 889	9 890	10 492	11 622	8 383	10 371	10 858	12 007	8 652	10 838	10 979	12 126	9 320	11 000	11 895	12 966	10 230	11 538	13 085	14 263	11 253	12 692	13 513	14 729	11 621	13 108	14 526	15 833	12 492	14 090	16 669	18 169	14 335	16 169		
Саратовская область	6 099	6 566	4 982	6 025	6 750	7 254	5 571	6 745	8 266	8 869	6 798	8 377	8 300	8 905	6 835	8 512	8 607	9 243	7 103	8 849	8 610	9 260	7 119	8 847	9 223	9 956	7 651	9 386	9 585	10 344	7 924	9 888	9 844	10 615	8 566	10 191	10 629	11 586	9 141	11 067	11 692	12 745	10 055	12 174	12 075	13 162	10 385	12 576	12 981	14 149	11 164	13 142	14 896	16 237	12 811	14 449		
Ульяновская область	6 416	6 911	5 304	6 379	7 157	7 714	5 911	7 103	8 855	9 517	7 288	8 948	8 929	9 585	7 344	9 085	9 390	10 080	7 723	9 555	9 505	10 197	7 812	9 708	10 013	10 755	8 241	10 145	10 387	11 152	8 514	10 614	10 642	11 417	9 247	10 917	11 262	12 276	9 685	11 365	12 388	13 504	10 654	12 502	12 794	13 945	11 003	12 915	13 753	14 991	11 828	13 496	15 782	17 202	13 573	15 309		
Уральский федеральный округ																																																										
Курганская область	6 634	7 110	5 508	6 857	7 383	7 911	6 138	7 624	9 032	9 671	7 484	9 387	9 258	9 892	7 662	9 703	9 530	10 175	7 901	9 991	9 568	10 200	7 920	10 102	10 019	10 706	8 331	10 438	10 374	11 084	8 592	10 865	10 696	11 516	9 248	11 452	11 895	12 966	10 230	11 910	13 085	14 263	11 253	13 101	13 513	14 729	11 621	13 874	14 526	15 833	12 492	14 512	16 669	18 169	14 335	16 169		
Свердловская область	7 351	7 878	5 970	7 258	7 896	8 418	6 500	8 002	9 602	10 240	7 909	9 818	9 972	10 625	8 207	10 301	10 094	10 773	8 347	10 382	10 462	11 169	8 636	10 834	10 735	11 463	8 830	11 210	10 828	11 544	8 830	11 515	11 206	11 966	9 521	11 850	12 274	13 379	10 556	12 869	13 501	14 717	11 612	14 156	14 088	15 356	12 116	14 623	15 298	16 675	13 156	15 281	17 556	19 136	15 098	17 029		
Тюменская область6)																																																										
в том числе:																																																										
Ханты-Мансийский авт.округ-Югра	10 749	11 511	8 751	10 305	11 552	12 272	9 324	11 093	14 316	14 922	11 316	13 594	14 757	15 355	11 632	14 105	14 526	15 404	11 683	14 069	14 428	15 542	11 812	14 370	15 054	16 271	12 370	14 919	15 952	17 164	12 989	15 968	16 281	17 500	13 236	16 306	16 932	18 456	14 606	16 958	18 625	20 302	16 067	18 654	19 649	21 417	16 951	19 680	20 435	22 274	17 629	20 467	21 252	23 165	18 334	21 286		
Ямало-Hенецкий авт.округ	12 077	12 534	9 488	11 633	13 617	14 128	10 691	13 118	15 851	16 434	12 430	15 472	15 910	16 498	12 473	15 623	16 027	16 659	12 597	15 796	15 905	16 605	12 528	15 816	16 318	17 063	12 863	16 133	16 541	17 286	13 010	16 534	17 029	17 707	14 033	16 903	18 029	19 652	15 505	17 579	19 832	21 617	17 056	19 337	20 923	22 806	17 994	20 295	21 760	23 718	18 714	21 107	24 294	26 480	20 893	23 565		
Тюменская область без авт. округов	7 429	7 957	5 618	7 506	8 161	8 622	6 427	8 228	9 815	10 345	7 876	9 991	10 101	10 622	8 098	10 375	10 471	11 029	8 401	10 687	10 649	11 208	8 528	10 897	11 216	11 820	9 011	11 414	11 652	12 261	9 317	11 970	11 748	12 376	9 958	11 995	12 654	13 793	10 882	12 475	13 919	15 172	11 970	13 723	14 375	15 669	12 363	14 176	15 453	16 844	13 290	14 989	17 733	19 329	15 250	17 201		
Челябинская область	7 089	7 582	5 850	7 186	7 809	8 359	6 462	7 946	9 397	10 041	7 752	9 635	9 286	9 926	7 672	9 556	9 426	10 080	7 798	9 733	9 495	10 151	7 844	9 869	10 150	10 887	8 425	10 468	11 083	11 880	9 167	11 534	11 430	12 247	9 794	11 965	11 887	12 957	10 223	12 444	13 076	14 253	11 245	13 688	13 730	14 966	11 808	14 140	14 279	15 564	12 280	14 706	16 314	17 782	14 030	15 825		
Сибирский федеральный округ																																																										
Республика Алтай	6 859	7 202	5 800	6 613	7 909	8 237	6 597	7 995	9 435	9 817	7 865	9 602	9 539	9 927	7 960	9 720	9 684	10 095	8 085	9 843	9 581	9 971	8 049	9 814	10 122	10 449	8 485	10 211	10 656	11 058	8 772	10 703	10 838	11 252	9 539	10 875	11 895	12 966	10 230	11 538	13 085	14 263	11 253	12 692	13 513	14 729	11 621	13 108	14 526	15 833	12 492	14 090	16 846	18 362	14 488	16 341		
Республика Тыва	7 853	8 252	6 245	7 924	8 436	8 765	6 696	8 709	9 804	10 169	7 768	10 182	10 017	10 337	7 902	10 507	9 697	10 008	7 646	10 204	9 957	10 268	7 869	10 482	10 556	10 887	8 355	11 106	11 041	11 540	8 815	11 842	11 494	11 856	9 034	12 213	12 781	13 931	10 992	12 702	14 059	15 324	12 091	13 972	14 519	15 826	12 486	14 433	15 608	17 013	13 423	15 155	17 910	19 522	15 403	17 373		
Республика Хакасия	7 079	7 505	5 679	7 294	7 923	8 379	6 373	8 263	9 076	9 481	7 292	9 501	9 158	9 651	7 341	9 680	9 289	9 802	7 474	9 749	9 822	10 351	7 897	10 286	10 910	11 508	8 767	11 479	11 706	12 324	9 341	12 462	11 784	12 414	9 986	12 509	12 907	14 069	11 100	13 009	14 198	15 476	12 210	14 310	14 663	15 983	12 610	14 782	15 762	17 181	13 555	15 876	18 088	19 716	15 556	17 545		
Алтайский край	6 565	7 011	5 338	6 660	7 423	7 947	6 038	7 409	8 798	9 417	7 157	8 787	8 881	9 483	7 213	8 968	9 115	9 708	7 393	9 313	9 369	9 809	7 975	9 674	9 964	10 588	8 598	10 066	10 281	10 981	8 807	10 423	10 665	11 488	9 573	10 611	11 262	12 276	10 396	11 524	12 388	13 504	11 436	12 676	12 794	13 945	12 065	13 373	13 753	14 991	12 608	13 975	15 782	17 202	13 573	15 309		
Красноярский край	8 138	8 737	6 159	7 865	8 987	9 536	7 035	9 290	10 799	11 438	8 453	11 236	10 992	11 633	8 570	11 509	11 349	12 013	8 851	11 873	11 643	12 311	9 074	12 237	12 477	13 216	9 783	12 966	13 051	13 816	10 176	13 651	13 409	14 186	10 963	14 095	14 046	15 310	12 080	14 645	15 451	16 841	13 288	16 110	15 956	17 392	13 722	16 642	17 153	18 697	14 752	17 408	19 684	21 456	16 928	19 093		
Иркутская область	7 067	7 579	5 590	6 804	8 321	8 851	6 724	8 383	9 935	10 546	7 993	10 114	10 038	10 642	8 084	10 252	10 043	10 648	8 100	10 242	10 475	11 094	8 431	10 736	11 434	12 174	9 266	11 822	12 083	12 840	9 745	12 606	12 243	13 012	10 540	12 759	13 413	14 620	11 535	13 269	14 754	16 082	12 689	14 596	15 238	16 609	13 105	15 078	16 380	17 854	14 087	15 889	18 797	20 489	16 165	18 233		
Кемеровская область	6 829	7 255	5 515	7 039	7 455	7 915	6 016	7 704	8 814	9 346	7 097	9 174	8 940	9 458	7 201	9 374	9 222	9 759	7 430	9 658	9 278	9 811	7 473	9 745	10 066	10 670	8 142	10 438	10 496	11 109	8 446	10 998	10 727	11 354	9 147	11 254	11 515	12 551	9 903	11 704	12 667	13 806	10 893	12 874	13 081	14 258	11 250	13 299	14 062	15 328	12 093	13 844	16 137	17 589	13 878	15 653		
Новосибирская область	7 544	8 113	5 980	7 485	8 675	9 246	6 979	8 819	10 425	11 095	8 364	10 698	10 404	11 061	8 369	10 691	10 743	11 404	8 633	11 122	10 772	11 441	8 659	11 122	11 361	12 081	9 155	11 637	11 905	12 649	9 552	12 299	12 284	13 054	10 378	12 729	12 775	13 925	10 987	13 238	14 053	15 318	12 086	14 562	14 728	16 054	12 666	15 261	15 317	16 696	13 173	15 871	17 378	18 942	14 945	16 857		
Омская область	6 390	6 833	5 127	6 298	7 154	7 606	5 785	7 190	8 544	9 079	6 908	8 608	8 635	9 151	6 969	8 808	8 877	9 408	7 147	9 075	9 121	9 648	7 335	9 409	9 900	10 497	7 990	10 080	10 325	10 932	8 296	10 622	10 635	11 342	8 932	10 982	11 305	12 322	9 722	11 674	12 436	13 554	10 694	12 841	13 195	14 383	11 348	13 624	13 723	14 958	11 802	14 169	15 428	16 816	13 268	14 965		
Томская область	7 763	8 235	6 212	7 754	8 607	9 099	6 914	8 849	10 578	11 159	8 470	10 902	10 706	11 269	8 557	11 087	10 747	11 324	8 604	11 065	10 907	11 480	8 718	11 288	11 465	12 169	9 255	11 902	11 961	12 680	9 618	12 589	12 218	12 959	9 815	12 927	12 731	13 877	10 949	13 470	14 004	15 265	12 044	14 817	14 466	15 768	12 441	15 306	15 144	16 507	13 024	15 995	17 378	18 942	14 945	16 857		
Дальневосточный федеральный округ																																																										
Республика Бурятия	7 159	7 712	5 735	6 611	8 026	8 409	6 399	8 147	9 506	9 924	7 537	9 787	9 566	9 958	7 564	9 954	9 777	10 168	7 747	10 186	10 320	10 731	8 177	10 762	11 377	11 828	9 012	11 868	12 283	12 749	9 675	12 917	12 810	13 298	10 372	13 441	13 793	15 034	11 862	14 086	15 172	16 537	13 048	15 495	15 669	17 079	13 475	16 006	16 844	18 360	14 486	16 886	19 329	21 069	16 623	18 749		
Республика Саха (Якутия)	11 342	12 233	9 208	10 738	12 879	13 679	10 423	13 158	15 140	16 040	12 181	15 670	16 055	16 938	12 853	16 662	16 554	17 551	13 293	16 983	16 511	17 527	13 267	16 933	17 181	18 229	13 823	17 725	17 747	18 773	14 233	18 552	18 368	19 476	15 438	19 201	19 108	20 828	16 433	19 854	21 019	22 911	18 076	21 839	21 706	23 660	18 667	22 560	23 334	25 434	20 067	23 801	26 777	29 187	23 028	25 974		
Забайкальский край	7 193	7 678	5 617	7 033	8 324	8 726	6 650	8 496	10 230	10 696	8 133	10 561	10 492	10 969	8 358	10 819	10 735	11 197	8 525	11 169	11 172	11 638	8 844	11 691	12 233	12 741	9 683	12 813	13 186	13 699	10 396	13 950	13 613,32	14 146,04	11 256,00	14 428,46	14 805	16 137	12 732	15 669	16 286	17 751	14 005	17 236	16 819	18 333	14 464	17 805	18 080	19 707	15 549	18 606	20 748	22 615	17 843	20 126		
Камчатский край	14 098	14 606	11 519	14 757	15 428	15 983	12 420	16 337	18 020	18 707	14 343	19 275	19 194	19 996	15 229	20 590	19 438	20 290	15 428	20 952	19 481	20 494	15 478	20 934	20 499	21 600	16 350	22 018	21 319	22 354	16 892	22 818	21 797	22 851	18 148	23 215	22 930	24 994	19 720	24 422	25 223	27 493	21 692	26 864	26 388	28 763	22 694	28 105	27 602	30 086	23 738	29 398	31 210	34 019	26 841	30 692		
Приморский край	9 395	9 916	7 530	9 944	10 321	10 885	8 263	10 967	12 490	13 147	9 948	13 445	12 616	13 302	10 086	13 678	12 408	13 066	9 931	13 456	12 454	13 126	9 995	13 634	13 142	13 910	10 583	14 400	13 889	14 709	11 178	15 277	13 963	14 779	12 119	15 409	15 058	16 413	12 950	16 025	16 564	18 054	14 245	17 628	17 106	18 646	14 711	18 210	18 389	20 044	15 815	19 029	21 102	23 001	18 148	20 469		
Хабаровский край	9 939	10 536	7 985	10 176	11 137	11 809	8 937	11 630	13 417	14 266	10 792	13 905	13 018	13 859	10 517	13 500	12 954	13 805	10 494	13 428	13 295	14 118	10 722	14 047	14 328	15 222	11 555	15 157	15 307	16 233	12 295	16 323	16 222	17 179	13 205	17 114	16 871	18 389	14 509	18 586	18 558	20 228	15 960	20 445	19 170	20 895	16 486	21 120	19 937	21 731	17 146	21 965	21 634	23 581	18 605	22 844		
Амурская область	9 003	9 513	7 292	9 171	9 456	9 996	7 625	9 650	10 740	11 362	8 648	11 040	11 541	12 195	9 261	12 063	11 330	12 004	9 159	11 825	11 190	11 875	9 077	11 644	12 155	12 909	9 886	12 655	13 072	13 872	10 577	13 736	14 017	14 847	11 272	14 905	14 704	16 027	12 645	15 635	16 174	17 630	13 910	17 199	17 047	18 581	14 660	18 128	17 823	19 427	15 328	18 953	20 393	22 228	17 538	20 090		
Магаданская область	13 834	14 504	10 912	14 285	14 865	15 573	11 699	15 490	17 311	18 177	13 629	18 165	18 043	18 907	14 152	19 127	17 957	18 831	14 114	18 954	18 213	19 155	14 330	19 589	19 680	20 762	15 572	20 911	20 629	21 819	16 350	21 891	21 102	22 319	17 560	22 402	22 018	24 000	18 935	24 326	24 220	26 400	20 829	26 759	25 013	27 264	21 511	28 231	26 888	29 308	23 124	29 501	30 855	33 632	26 535	30 829		
Сахалинская область	10 820	11 400	8 648	11 099	11 794	12 428	9 355	12 369	13 672	14 378	10 791	14 509	13 887	14 599	10 989	14 722	13 681	14 373	10 818	14 549	13 726	14 414	10 852	14 626	14 781	15 740	11 855	16 057	15 914	16 946	12 746	17 321	15 906	16 932	13 604	17 300	17 209	18 758	14 800	17 992	18 930	20 634	16 280	19 791	19 550	21 310	16 813	20 880	21 016	22 907	18 074	21 715	24 117	26 288	20 741	23 393		
Еврейская автономная область	9 315	9 763	7 404	9 514	10 185	10 666	8 075	10 475	12 476	13 032	9 846	13 002	12 626	13 336	10 085	13 298	12 497	13 201	9 999	13 174	12 829	13 570	10 335	13 505	14 213	15 116	11 521	14 776	15 422	16 372	12 463	16 108	16 386	17 411	13 526	16 479	17 053	18 588	14 666	17 150	18 758	20 447	16 133	18 865	19 377	21 121	16 664	19 488	20 185	22 002	17 359	20 301	22 166	24 161	19 063	21 501		
Чукотский авт.округ	13 381	13 693	10 906	13 419	14 569	15 026	11 360	14 837	16 537	17 059	12 886	16 843	18 072	18 556	13 951	18 733	20 194	20 637	15 475	21 283	21 563	22 092	16 496	22 573	22 213	22 809	17 130	23 025	23 417	24 111	18 085	24 065	24 164	24 875	18 660	24 853	28 851	31 448	24 812	27 985	31 736	34 593	27 293	30 784	35 938	39 172	30 906	34 859	40 332	43 962	34 686	39 122	46 283	50 448	39 803	44 895		
																																																										
Донецкая Народная Республика																																													11 213	12 222	9 643	10 877	14 526	15 833	12 492	14 090	16 669	18 169	14 335	16 169		
Луганская Народная Республика																																													11 213	12 222	9 643	10 877	14 526	15 833	12 492	14 090	16 669	18 169	14 335	16 169		
Запорожская область																																													11 644	12 692	10 014	11 295	14 989	16 338	12 891	14 539	17 201	18 749	14 793	16 685		
Херсонская область																																													11 644	12 692	10 014	11 295	14 989	16 338	12 891	14 539	17 201	18 749	14 793	16 685		
																																																										
"1) Источник: С 2013-2020 гг. – оценка на основании данных о величине прожиточного минимума за I – IV кварталы соответствующего года, устанавливаемой: в целом по Российской Федерации – Правительством Российской Федерации (начиная с IV квартала 2017 г. по IV квартал 2020 г. –  Минтрудом России), органами  власти субъектов Российской Федерации – по каждому субъекту Российской Федерации.
"																																																										
С 2021 г. – данные о величине прожиточного минимума устанавливаются на соответствующий год (с годовой периодичностью): в целом по Российской Федерации – Правительством Российской Федерации и органами власти субъектов Российской Федерации – по каждому субъекту Российской Федерации.																																																										
2) С 1 января 2022 г. – в соответствии с Федеральным законом от 6 декабря 2021 г. № 390-ФЗ.																																																										
3)  С 1 июня 2022 г. – в соответствии с постановлением Правительства Российской Федерации от 28 мая 2022 г. № 973 с учетом индексации величины прожиточного минимума на 10%, по данным Минтруда России https://mintrud.gov.ru/social/social/1269).																																																										
"4) В соответствии с Федеральным законом от 5 декабря 2022 г. № 470-ФЗ ""О приостановлении действия отдельных положений статьи 4 Федерального закона ""О прожиточном минимуме в Российской Федерации"" величина прожиточного минимума на душу населения и по основным социально-демографическим группам населения на 2023 и 2024 годы устанавливается федеральным законом о федеральном бюджете на соответствующий финансовый год  и на плановый период (Федеральный закон от 5 декабря 2022 г. № 466-ФЗ)."																																																										
5) На 2024 г. – в соответствии с Федеральным законом от 27 ноября 2023 г. № 540-ФЗ.																																																										
6) По указанным субъектам Российской Федерации величина прожиточного минимума органами власти субъектов Российской Федерации не устанавливается.																																																										
7) Постановлением Правительства Чеченской Республики от 10 августа 2021 г. № 156 внесены изменения в постановление Правительства Чеченской Республики от 2 февраля 2021 г. № 17 «Об установлении величины прожиточного минимума на душу населения и по основным социально-демографическим группам населения Чеченской Республики на 2021 год».																																																										
																																																										
