	" ВЕЛИЧИНА ПРОЖИТОЧНОГО МИНИМУМА 
на душу населения и по основным социально-демографическим группам населения 
в целом по Российской Федерации и по субъектам Российской Федерации1)"																																																									
																																																								рублей в месяц		
	2013				2014				2015				2016				2017				2018				2019				2020				2021				 c 1 января 2022 г.				" c 1 июня 2022 г.
(с учетом индексации ВПМ на 10%)"				2023				2024				2025					
	Все население	в том числе по социально-демографическим группам населения			Все население	в том числе по социально-демографическим группам населения			Все население	в том числе по социально-демографическим группам населения			Все население	в том числе по социально-демографическим группам населения			Все население	в том числе по социально-демографическим группам населения			Все население	в том числе по социально-демографическим группам населения			Все население	в том числе по социально-демографическим группам населения			Все население	в том числе по социально-демографическим группам населения			Все население	в том числе по социально-демографическим группам населения			Все население	в том числе по социально-демографическим группам населения			Все население	в том числе по социально-демографическим группам населения			Все население	в том числе по социально-демографическим группам населения			Все население	в том числе по социально-демографическим группам населения			Все население	в том числе по социально-демографическим группам населения				
		трудоспособное население	пенсионеры	дети		трудоспособное население	пенсионеры	дети		трудоспособное население	пенсионеры	дети		трудоспособное население	пенсионеры	дети		трудоспособное население	пенсионеры	дети		трудоспособное население	пенсионеры	дети		трудоспособное население	пенсионеры	дети		трудоспособное население	пенсионеры	дети		трудоспособное население	пенсионеры	дети		трудоспособное население	пенсионеры	дети		трудоспособное население	пенсионеры	дети		трудоспособное население	пенсионеры	дети		трудоспособное население	пенсионеры	дети		трудоспособное население	пенсионеры	дети		
Российская Федерация	7 306	7 871	5 998	7 022	8 050	8 683	6 617	7 752	9 701	10 455	7 965	9 472	9 828	10 598	8 081	9 660	10 088	10 899	8 315	9 925	10 287	11 125	8 483	10 150	10 890	11 809	9 002	10 703	11 312	12 235	9 308	11 216	11 653	12 702	10 022	11 303	12 6542)	13 793	10 882	12 274	13 9193)	15 172	11 970	13 501	14 3754)	15 669	12 363	13 944	15 4535)	16 844	13 290	14 989	17 733	19 329	15 250	17 201		
Московская область	8 021	8 921	6 017	7 667	8 977	9 978	6 742	8 598	10 795	11 984	8 092	10 426	11 140	12 343	8 347	10 862	11 667	12 925	8 751	11 366	11 946	13 226	8 950	11 689	12 694	14 072	9 536	12 308	13 199	14 598	9 883	12 991	13 580	14 987	10 648	13 531	14 748	16 075	12 683	14 306	16 223	17 683	13 951	15 737	17 277	18 832	14 858	16 759	18 296	19 943	15 735	17 747	19 302	21 039	16 600	18 723		
Орловская область	6 422	6 913	5 351	6 285	7 194	7 744	6 008	7 020	8 764	9 415	7 298	8 663	8 860	9 500	7 367	8 853	9 249	9 921	7 692	9 224	9 513	10 203	7 901	9 505	10 123	10 866	8 425	10 051	10 494	11 244	8 700	10 562	10 722	11 480	8 872	10 851	11 768	12 827	10 120	11 415	12 945	14 110	11 132	12 557	13 369	14 572	11 497	12 968	14 371	15 664	12 359	13 940	16 492	17 976	14 183	15 997		
Рязанская область	6 626	7 179	5 540	6 458	7 071	7 655	5 943	6 856	8 753	9 480	7 310	8 562	8 797	9 516	7 333	8 682	9 174	9 924	7 643	9 061	9 545	10 317	7 927	9 510	10 018	10 842	8 343	9 879	10 536	11 376	8 727	10 602	10 785	11 643	9 321	10 899	11 262	12 276	9 694	11 335	12 388	13 504	10 663	12 469	12 794	13 945	11 015	13 155	13 753	14 991	11 828	13 747	15 782	17 202	13 573	15 309		
Смоленская область	7 686	8 307	6 332	7 404	8 441	9 111	6 978	8 135	10 258	11 047	8 444	10 060	10 346	11 132	8 520	10 180	10 037	10 779	8 332	9 845	10 201	10 953	8 450	10 054	10 833	11 652	9 011	10 519	10 876	11 693	9 026	10 616	11 201	12 038	9 782	10 975	12 148	13 241	10 447	11 784	13 363	14 565	11 492	12 962	13 944	15 199	11 992	13 526	15 144	16 507	13 024	14 690	17 556	19 136	15 098	17 029		
Тамбовская область	5 081	5 645	3 977	4 893	6 579	7 148	5 526	6 326	8 168	8 852	6 851	7 994	8 353	9 062	7 010	8 280	8 509	9 250	7 141	8 441	8 654	9 396	7 259	8 602	9 682	10 514	8 232	9 512	10 134	10 920	8 659	10 011	10 221	11 004	8 740	10 100	11 100	12 099	10 204	10 767	12 210	13 309	11 224	11 844	12 796	13 948	11 763	12 412	13 372	14 575	12 292	12 971	14 718	16 043	12 784	14 276		
Тверская область	7 097	7 641	5 866	7 186	7 993	8 603	6 628	8 087	9 741	10 463	8 042	10 023	9 768	10 507	8 083	10 154	10 000	10 768	8 303	10 401	10 161	10 943	8 433	10 590	10 725	11 597	8 894	11 150	11 087	11 981	9 153	11 712	11 234,14	12 144,22	9 875,00	11 893,59	12 148	13 241	10 447	12 369	13 363	14 565	11 492	13 606	13 944	15 199	11 992	14 055	14 989	16 338	12 891	14 687	17 378	18 942	14 945	16 857		
Тульская область	6 528	7 078	5 457	6 341	7 368	7 918	6 352	7 096	8 949	9 598	7 709	8 716	9 128	9 781	7 850	8 957	9 303	9 986	7 967	9 122	9 709	10 404	8 319	9 591	10 531	11 295	9 038	10 321	10 963	11 754	9 274	10 813	11 134	11 922	9 997	11 032	12 401	13 517	10 665	12 029	13 641	14 869	11 732	13 232	14 231	15 512	12 239	13 804	15 453	16 844	13 290	14 989	17 733	19 329	15 250	17 201		
Ярославская область	6 571	7 308	5 423	6 580	7 192	8 000	5 935	7 190	8 680	9 636	7 142	8 798	8 956	9 901	7 336	9 101	9 310	10 186	7 560	9 365	9 541	10 445	7 746	9 644	10 183	11 192	8 302	10 182	10 600	11 608	8 591	10 700	10 742	11 749	9 231	10 959	11 895	12 966	10 230	11 562	13 085	14 263	11 253	12 718	13 800	15 042	11 868	13 386	15 144	16 507	13 024	14 690	17 733	19 329	15 250	17 201		
г. Москва	10 580	11 946	7 713	9 341	12 180	13 921	8 616	10 427	14 749	16 832	10 411	12 790	15 206	17 349	10 761	13 151	15 865	18 099	11 229	13 733	16 149	18 432	11 424	13 950	17 202	19 644	12 174	14 800	17 685	20 189	12 501	15 278	18 029	20 589	13 496	15 582	18 714	21 371	14 009	16 174	20 585	23 508	15 410	17 791	21 718	24 801	16 257	18 770	22 662	25 879	16 964	19 586	23 908	27 302	17 897	20 663		
Северо-Западный федеральный округ																																																										
